Datum;Uhrzeit;Bilker Allee IN;Bilker Allee OUT;Christophstr.;Elisabethstr;Fleher Deich Ost stromaufwärts;Fleher Deich west stromabwärts;Friedrichstr;Kirchfeldstraße;Koblenzer einwärts nach TLS;Koblenzer einwärts vor TLS;Koblenzer stadtauswärts;Koblenzer stadtauswärtss;KÖ Steinstr;Lohauser Deich;Mannesmann Ufer-Totem 01;OKB Nord;OKB Süd
01.01.2014;00:00;0;0;;;1;2;;0;1;0;0;0;2;0;0;2;0
01.01.2014;00:15;0;0;;;0;6;;0;0;1;0;0;0;0;3;6;3
01.01.2014;00:30;0;0;;;0;1;;4;0;0;0;0;4;1;5;1;1
01.01.2014;00:45;0;0;;;0;0;;10;0;0;0;0;6;0;3;2;1
01.01.2014;01:00;1;3;;;0;0;;0;0;0;4;4;7;0;5;1;1
01.01.2014;01:15;0;2;;;0;0;;1;2;2;8;8;4;0;5;2;2
01.01.2014;01:30;0;0;;;0;0;;5;0;0;2;2;3;2;1;2;2
01.01.2014;01:45;0;1;;;0;0;;4;0;0;2;2;1;0;14;1;1
01.01.2014;02:00;1;1;;;1;0;;12;0;0;5;5;0;0;3;2;1
01.01.2014;02:15;0;0;;;0;0;;4;1;1;0;0;1;0;4;5;4
01.01.2014;02:30;0;0;;;0;1;;0;0;0;0;0;7;0;8;2;2
01.01.2014;02:45;0;0;;;0;0;;13;0;0;0;0;3;0;10;1;6
01.01.2014;03:00;0;0;;;0;0;;6;2;1;0;0;2;0;4;0;0
01.01.2014;03:15;2;2;;;1;1;;1;1;1;0;0;1;0;15;3;1
01.01.2014;03:30;2;1;;;0;0;;5;0;0;0;0;6;0;11;1;0
01.01.2014;03:45;1;0;;;0;0;;8;0;0;0;0;2;0;10;0;1
01.01.2014;04:00;0;2;;;0;0;;6;0;0;0;0;7;0;2;2;0
01.01.2014;04:15;0;1;;;0;0;;2;0;0;0;0;3;0;0;0;1
01.01.2014;04:30;1;0;;;0;0;;6;0;0;2;2;1;0;0;0;0
