Datum;Uhrzeit;Bilker Allee IN;Bilker Allee OUT;Christophstr.;Elisabethstr;Fleher Deich Ost stromaufwaerts;Fleher Deich west stromabwaerts;Friedrichstr;Kirchfeldstraße;Koblenzer einwaerts nach TLS;Koblenzer einwaerts vor TLS;Koblenzer stadtauswaerts;Koblenzer stadtauswaertss;Koe Steinstr;Lohauser Deich;Mannesmann Ufer-Totem 01;OKB Nord;OKB Sued
01.01.2015;00:00;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;8
01.01.2015;00:15;0;0;0;;0;3;;0;0;0;0;0;2;0;1;0;1
01.01.2015;00:30;1;2;0;;0;2;;6;0;0;0;0;3;1;1;0;0
01.01.2015;00:45;1;3;2;;0;0;;6;0;2;4;4;2;0;7;3;0
01.01.2015;01:00;1;0;0;;0;0;;2;0;0;0;0;4;0;4;1;7
01.01.2015;01:15;0;1;3;;0;0;;3;0;0;4;4;3;0;6;3;0
01.01.2015;01:30;4;0;1;;0;0;;1;0;0;0;0;3;0;5;2;3
01.01.2015;01:45;0;0;3;;0;2;;4;0;0;17;17;1;0;3;2;3
01.01.2015;02:00;3;2;0;;2;0;;3;0;0;3;3;0;0;5;0;1
01.01.2015;02:15;1;0;1;;0;0;;3;1;0;1;1;0;0;2;7;1
01.01.2015;02:30;2;1;1;;0;0;;6;0;2;2;2;1;0;9;8;1
01.01.2015;02:45;2;0;0;;2;0;;7;0;1;1;1;2;0;1;2;3
01.01.2015;03:00;0;0;2;;0;0;;1;1;1;0;0;3;0;2;7;5
01.01.2015;03:15;1;1;1;;0;2;;2;0;0;0;0;3;0;7;1;0
01.01.2015;03:30;3;1;0;;0;0;;7;0;0;0;0;0;0;1;2;0
01.01.2015;03:45;0;0;1;;0;0;;1;0;0;0;0;2;0;2;1;3
01.01.2015;04:00;0;0;1;;0;0;;1;0;0;2;2;3;0;3;1;4
01.01.2015;04:15;0;0;1;;0;0;;7;0;0;0;0;0;0;0;0;1
01.01.2015;04:30;0;0;0;;0;0;;3;0;0;0;0;3;0;8;1;3
01.01.2015;04:45;0;0;0;;0;0;;3;0;0;2;2;1;0;2;0;0
01.01.2015;05:00;0;0;0;;0;0;;0;0;0;0;0;2;0;0;2;0
01.01.2015;05:15;0;0;0;;0;0;;3;0;2;6;6;1;0;0;2;1
01.01.2015;05:30;1;0;0;;0;0;;2;0;0;2;2;1;0;4;3;0
01.01.2015;05:45;1;0;1;;0;0;;1;0;0;0;0;0;0;1;0;0
01.01.2015;06:00;0;0;1;;0;0;;2;0;1;0;0;1;0;3;1;0
01.01.2015;06:15;0;0;0;;0;0;;0;0;0;0;0;1;0;0;0;0
01.01.2015;06:30;1;1;0;;0;0;;0;0;0;0;0;0;0;1;1;0
01.01.2015;06:45;0;0;2;;0;0;;4;0;0;4;4;1;0;0;0;0
01.01.2015;07:00;0;0;2;;1;0;;0;0;0;0;0;0;0;1;0;0
01.01.2015;07:15;0;0;0;;0;0;;1;0;0;0;0;1;0;0;0;0
01.01.2015;07:30;0;0;1;;1;0;;2;0;0;0;0;2;0;0;0;0
01.01.2015;07:45;1;0;0;;1;0;;1;0;0;0;0;0;0;2;1;0
01.01.2015;08:00;0;1;0;;0;0;;0;0;0;2;2;0;0;1;0;0
01.01.2015;08:15;0;0;0;;0;0;;0;0;0;0;0;0;0;0;1;0
01.01.2015;08:30;0;0;0;;0;0;;0;0;0;0;0;1;0;3;0;0
01.01.2015;08:45;0;1;1;;0;2;;1;0;0;3;3;0;0;2;0;0
01.01.2015;09:00;0;0;0;;1;0;;0;0;0;1;1;0;0;3;0;2
01.01.2015;09:15;0;1;0;;0;0;;1;0;0;2;2;0;0;3;1;1
01.01.2015;09:30;0;0;0;;0;1;;0;2;0;2;2;0;1;1;0;1
01.01.2015;09:45;1;0;0;;0;1;;1;2;1;2;2;3;1;2;4;0
01.01.2015;10:00;0;1;0;;0;1;;0;0;0;0;0;1;2;1;0;0
01.01.2015;10:15;0;0;1;;2;1;;2;0;0;0;0;0;2;9;1;2
01.01.2015;10:30;0;0;3;;0;0;;1;1;1;2;2;1;1;2;0;0
01.01.2015;10:45;1;0;1;;0;1;;1;0;0;0;0;4;4;6;2;2
01.01.2015;11:00;0;1;1;;2;3;;1;0;1;0;0;0;8;5;8;1
01.01.2015;11:15;0;0;5;;3;4;;4;2;3;0;0;4;5;14;3;1
01.01.2015;11:30;1;0;3;;1;5;;2;1;1;0;0;2;6;2;6;5
01.01.2015;11:45;0;0;4;;0;1;;2;1;0;4;4;1;9;6;3;4
01.01.2015;12:00;1;2;2;;0;3;;2;1;1;2;2;1;10;10;4;1
01.01.2015;12:15;0;0;2;;3;5;;2;1;2;2;2;3;9;16;6;0
01.01.2015;12:30;2;3;1;;2;6;;6;1;2;4;4;4;13;17;0;1
01.01.2015;12:45;0;2;2;;4;12;;5;0;0;2;2;3;6;15;5;1
01.01.2015;13:00;0;0;4;;2;7;;5;2;3;3;3;6;10;25;12;3
01.01.2015;13:15;0;2;2;;4;13;;4;1;2;0;0;2;6;20;11;3
01.01.2015;13:30;3;2;4;;5;5;;4;0;0;6;6;6;18;20;9;7
01.01.2015;13:45;1;1;6;;1;5;;9;0;1;4;4;6;10;25;4;2
01.01.2015;14:00;2;1;0;;10;14;;10;4;5;4;4;6;19;18;13;11
01.01.2015;14:15;0;2;0;;10;6;;10;3;3;14;14;7;20;27;8;6
01.01.2015;14:30;2;0;7;;9;13;;6;0;1;9;9;3;19;13;9;15
01.01.2015;14:45;2;0;4;;4;13;;7;0;1;9;9;6;19;39;16;17
01.01.2015;15:00;1;2;6;;12;6;;9;2;5;6;6;6;17;30;20;5
01.01.2015;15:15;1;2;0;;14;13;;7;0;0;15;15;16;31;48;22;8
01.01.2015;15:30;3;0;9;;6;12;;5;5;5;15;15;6;11;31;8;11
01.01.2015;15:45;2;2;3;;6;6;;9;0;0;3;3;7;23;23;18;4
01.01.2015;16:00;4;1;1;;0;1;;8;4;4;7;7;6;19;25;15;9
01.01.2015;16:15;2;3;3;;3;8;;6;1;3;10;10;6;21;26;16;4
01.01.2015;16:30;3;0;7;;6;5;;9;5;4;2;2;0;14;21;9;2
01.01.2015;16:45;0;0;2;;5;0;;6;0;0;18;18;6;11;29;14;5
01.01.2015;17:00;0;0;2;;2;3;;4;0;0;9;9;5;0;19;4;1
01.01.2015;17:15;0;3;1;;5;0;;5;2;3;3;3;5;4;6;13;5
01.01.2015;17:30;2;1;7;;0;0;;6;0;0;1;1;6;2;13;6;3
01.01.2015;17:45;1;1;1;;1;0;;5;0;0;0;0;8;7;19;3;2
01.01.2015;18:00;4;1;1;;1;0;;2;0;0;0;0;6;1;11;3;2
01.01.2015;18:15;1;0;4;;0;2;;4;3;4;2;2;3;1;6;1;2
01.01.2015;18:30;1;0;4;;0;1;;2;1;0;11;11;3;0;12;3;0
01.01.2015;18:45;1;1;0;;0;0;;3;4;2;1;1;3;0;5;4;2
01.01.2015;19:00;2;0;0;;0;0;;4;2;2;5;5;3;0;5;2;2
01.01.2015;19:15;2;0;1;;0;2;;2;1;2;6;6;4;1;11;4;2
01.01.2015;19:30;2;2;1;;2;0;;1;2;3;0;0;0;0;5;0;0
01.01.2015;19:45;0;0;1;;0;0;;3;0;0;0;0;0;0;1;2;1
