Datum;Uhrzeit;Bilker Allee IN;Bilker Allee OUT;Christophstrasse;Elisabethstrasse;Fleher Deich Ost stromaufwaerts;Fleher Deich west stromabwaerts;Friedrichstrasse;Kirchfeldstrasse;Koblenzer einwaerts nach TLS;Koblenzer einwaerts vor TLS;Koblenzer stadtauswaerts;Koe Steinstrasse;Lohauser Deich;Mannesmann Ufer;OKB Nord;OKB Sued
01.01.2019;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
01.01.2019;00:15:00;0;1;0;1;0;4;0;4;0;0;2;0;0;3;1;3
01.01.2019;00:30:00;0;0;9;1;0;0;0;2;1;3;1;0;0;5;1;3
01.01.2019;00:45:00;0;0;4;3;0;4;2;2;2;2;3;1;0;10;9;2
01.01.2019;01:00:00;2;0;1;0;0;0;0;4;0;2;0;2;0;6;2;2
01.01.2019;01:15:00;5;2;2;1;0;0;0;1;1;1;2;2;0;5;1;5
01.01.2019;01:30:00;0;3;2;0;0;1;2;4;1;1;0;2;0;2;3;0
01.01.2019;01:45:00;1;1;0;0;0;0;0;4;0;2;0;2;0;5;2;0
01.01.2019;02:00:00;1;1;0;1;0;0;1;6;1;1;0;1;0;7;0;0
01.01.2019;02:15:00;1;0;5;0;0;1;1;6;1;0;5;2;0;7;3;1
01.01.2019;02:30:00;0;0;3;1;0;0;2;1;0;0;7;2;0;5;0;0
01.01.2019;02:45:00;0;0;0;2;0;0;1;0;0;0;4;0;0;4;1;4
01.01.2019;03:00:00;1;2;0;0;0;2;1;6;0;0;1;2;0;3;3;2
01.01.2019;03:15:00;1;2;0;2;1;0;1;3;0;0;3;0;0;8;1;4
01.01.2019;03:30:00;1;1;1;2;0;0;3;3;0;0;2;1;0;2;1;2
01.01.2019;03:45:00;3;0;0;1;0;2;1;2;0;0;2;1;0;4;1;1
01.01.2019;04:00:00;1;0;0;0;0;0;0;3;0;0;6;0;0;1;0;0
01.01.2019;04:15:00;0;0;0;1;0;0;0;0;0;0;2;3;0;4;0;1
01.01.2019;04:30:00;1;2;1;2;0;0;1;7;0;0;0;0;0;4;0;0
01.01.2019;04:45:00;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0
01.01.2019;05:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
01.01.2019;05:15:00;2;0;0;1;0;0;1;5;0;0;0;1;0;1;1;0
01.01.2019;05:30:00;1;0;1;0;0;0;1;2;0;0;0;1;0;1;0;1
01.01.2019;05:45:00;0;0;0;1;0;0;2;0;0;0;1;0;0;3;0;0
01.01.2019;06:00:00;1;1;1;1;0;0;0;2;2;1;4;0;0;6;2;0
01.01.2019;06:15:00;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
01.01.2019;06:30:00;0;1;3;0;0;0;0;2;0;0;2;0;0;0;0;0
01.01.2019;06:45:00;1;0;1;0;0;0;0;1;1;1;0;0;0;7;0;0
01.01.2019;07:00:00;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
01.01.2019;07:15:00;0;0;1;0;0;1;1;1;0;0;4;0;0;2;0;0
01.01.2019;07:30:00;0;0;0;0;1;0;0;1;0;0;0;1;2;0;0;0
01.01.2019;07:45:00;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0
01.01.2019;08:00:00;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
01.01.2019;08:15:00;0;0;0;2;0;0;0;0;1;0;0;1;0;1;0;0
01.01.2019;08:30:00;0;1;0;1;0;0;1;1;0;0;1;0;0;4;0;1
01.01.2019;08:45:00;0;0;1;0;1;0;0;1;0;0;0;0;0;6;1;0
01.01.2019;09:00:00;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0
01.01.2019;09:15:00;0;0;0;0;0;0;0;0;0;0;2;1;0;1;3;0
01.01.2019;09:30:00;0;0;2;0;0;0;1;0;1;2;0;1;1;1;1;1
01.01.2019;09:45:00;0;1;1;0;0;0;0;1;0;0;0;1;2;3;1;2
01.01.2019;10:00:00;0;1;4;1;1;2;0;1;2;0;0;1;2;5;3;2
01.01.2019;10:15:00;1;2;0;0;0;1;2;4;0;0;4;0;2;5;0;4
01.01.2019;10:30:00;0;0;0;1;1;0;1;1;0;0;0;1;3;8;1;0
01.01.2019;10:45:00;1;1;0;0;0;0;1;0;0;0;1;1;4;8;2;6
01.01.2019;11:00:00;1;0;5;1;1;1;1;1;3;2;0;0;3;11;0;0
01.01.2019;11:15:00;3;0;1;0;0;2;1;1;2;1;2;0;3;3;0;0
01.01.2019;11:30:00;1;1;1;0;2;1;2;2;0;0;0;0;0;7;1;0
01.01.2019;11:45:00;2;0;1;3;1;0;0;7;0;0;0;1;2;3;2;0
01.01.2019;12:00:00;1;0;1;1;0;0;2;2;1;1;2;2;2;2;6;0
01.01.2019;12:15:00;2;1;3;0;1;3;1;0;2;0;2;0;3;10;3;2
01.01.2019;12:30:00;1;3;2;1;0;0;2;1;0;0;2;0;9;5;1;0
01.01.2019;12:45:00;1;0;5;0;2;0;4;4;0;0;2;1;3;5;2;0
01.01.2019;13:00:00;0;2;1;1;1;1;4;1;0;0;0;2;4;7;5;0
01.01.2019;13:15:00;1;3;2;2;1;2;0;3;0;0;1;1;3;6;2;0
01.01.2019;13:30:00;2;1;5;1;0;3;1;3;0;0;2;2;6;10;0;1
01.01.2019;13:45:00;0;0;2;1;0;0;2;2;1;1;4;2;2;4;6;2
01.01.2019;14:00:00;1;0;5;2;0;3;6;3;1;1;0;1;2;1;2;1
01.01.2019;14:15:00;0;2;6;3;0;1;2;1;0;0;0;2;3;5;0;1
01.01.2019;14:30:00;0;2;3;1;1;0;1;3;1;1;4;4;2;10;2;0
01.01.2019;14:45:00;1;1;4;0;1;0;1;1;2;2;5;0;6;11;2;1
01.01.2019;15:00:00;1;0;1;1;1;0;0;5;0;0;0;2;3;9;1;4
01.01.2019;15:15:00;1;1;5;1;0;4;1;8;1;3;2;0;0;14;4;1
01.01.2019;15:30:00;0;1;5;1;3;4;2;2;0;1;2;6;3;14;2;1
01.01.2019;15:45:00;0;1;1;2;2;5;0;7;0;0;0;7;2;12;11;4
01.01.2019;16:00:00;0;1;3;1;0;2;2;7;0;0;3;2;4;13;8;3
01.01.2019;16:15:00;0;0;3;1;0;3;3;9;2;4;5;1;6;20;10;2
01.01.2019;16:30:00;4;0;0;2;1;7;1;7;1;2;0;5;4;15;3;4
01.01.2019;16:45:00;3;1;5;3;1;0;5;12;0;2;0;2;5;20;4;6
01.01.2019;17:00:00;0;1;7;4;1;2;3;4;0;0;0;2;1;20;9;1
01.01.2019;17:15:00;0;1;0;2;0;0;4;9;3;2;2;3;3;12;2;6
01.01.2019;17:30:00;2;0;1;1;3;2;3;5;2;4;6;3;4;9;3;3
01.01.2019;17:45:00;3;1;9;1;0;1;2;7;1;0;5;1;1;17;1;3
01.01.2019;18:00:00;0;0;5;0;3;0;2;6;1;1;0;1;0;6;1;2
01.01.2019;18:15:00;1;1;8;1;1;1;6;3;0;1;2;1;3;8;2;0
01.01.2019;18:30:00;1;0;1;3;0;0;7;10;2;3;2;3;0;4;1;1
01.01.2019;18:45:00;0;1;1;0;0;0;2;3;1;3;2;1;2;9;3;3
01.01.2019;19:00:00;1;0;0;2;0;0;0;4;2;4;0;2;0;8;1;1
01.01.2019;19:15:00;3;2;2;2;0;0;1;3;1;1;0;0;0;7;1;1
01.01.2019;19:30:00;3;2;3;0;0;0;0;2;0;0;0;4;1;2;4;0
01.01.2019;19:45:00;0;2;1;0;0;0;3;9;1;2;2;1;0;4;2;0
01.01.2019;20:00:00;2;1;2;1;4;0;2;3;0;0;1;1;0;4;0;0
01.01.2019;20:15:00;0;2;2;4;0;0;1;3;0;2;0;0;0;0;0;1
01.01.2019;20:30:00;0;0;3;1;0;0;1;4;2;1;3;0;1;6;0;1
01.01.2019;20:45:00;0;2;1;1;0;0;0;3;1;2;0;1;0;2;2;0
01.01.2019;21:00:00;0;3;0;1;0;0;2;3;1;3;1;3;0;3;1;1
01.01.2019;21:15:00;2;1;1;1;0;0;2;1;0;0;2;1;0;5;0;0
01.01.2019;21:30:00;1;1;3;1;0;0;3;2;0;0;0;2;0;3;3;0
01.01.2019;21:45:00;1;2;5;2;0;0;1;1;0;0;0;1;0;6;1;0
01.01.2019;22:00:00;3;0;1;0;0;0;0;4;0;0;0;0;0;2;1;0
01.01.2019;22:15:00;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;1
01.01.2019;22:30:00;0;0;0;0;0;0;2;0;0;0;0;0;0;4;1;0
01.01.2019;22:45:00;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0
01.01.2019;23:00:00;0;0;1;0;0;0;0;1;0;0;0;0;0;3;0;0
01.01.2019;23:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2
01.01.2019;23:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2019;23:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
02.01.2019;00:00:00;0;1;1;0;0;0;0;0;2;3;0;0;2;2;0;0
02.01.2019;00:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2019;00:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
02.01.2019;00:45:00;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
02.01.2019;01:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2019;01:15:00;3;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0
02.01.2019;01:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2019;01:45:00;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
02.01.2019;02:00:00;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
02.01.2019;02:15:00;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
02.01.2019;02:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2019;02:45:00;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0
02.01.2019;03:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2019;03:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
02.01.2019;03:30:00;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
02.01.2019;03:45:00;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0
02.01.2019;04:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2019;04:15:00;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0
02.01.2019;04:30:00;0;0;1;0;0;1;1;0;0;0;0;0;0;2;0;1
02.01.2019;04:45:00;0;0;0;1;0;2;0;2;1;2;2;0;0;0;0;0
02.01.2019;05:00:00;0;0;0;0;3;0;0;0;0;0;1;0;1;1;1;0
02.01.2019;05:15:00;0;0;0;0;1;2;1;2;2;1;0;0;0;2;0;2
02.01.2019;05:30:00;1;0;0;1;2;5;2;5;0;0;2;1;0;7;4;1
02.01.2019;05:45:00;1;2;3;1;3;3;6;2;3;2;2;0;1;1;1;1
02.01.2019;06:00:00;0;0;2;0;2;1;6;2;2;1;4;1;1;8;6;2
02.01.2019;06:15:00;1;1;2;0;4;1;1;6;1;2;6;0;1;2;4;3
02.01.2019;06:30:00;3;0;5;0;5;6;3;6;4;2;4;1;7;5;7;2
02.01.2019;06:45:00;0;2;4;0;4;5;3;4;5;6;4;3;1;11;6;1
02.01.2019;07:00:00;1;0;6;0;8;5;5;10;4;6;2;3;2;19;10;1
02.01.2019;07:15:00;0;2;4;3;3;4;5;13;1;3;10;2;6;18;10;3
02.01.2019;07:30:00;1;0;4;2;7;6;11;7;1;2;1;3;4;21;11;4
02.01.2019;07:45:00;1;0;9;0;10;2;12;22;7;4;5;6;3;30;16;2
