Datum;Uhrzeit;Bilker Allee IN;Bilker Allee OUT;Christophstrasse;Elisabethstrasse;Fleher Deich;Fleher Deich Ost stromaufwaerts;Fleher Deich Rampe;Fleher Deich west stromabwaerts;Friedrichstrasse;Kirchfeldstrasse;Koblenzer einwaerts nach TLS;Koblenzer einwaerts vor TLS;Koblenzer stadtauswaerts;Koblenzer Strasse;Koe Steinstrasse;Lohauser Deich;Mannesmann Ufer;Muenchener/ Ickeswarder Str;Oberkasseler Bruecke;OKB Nord;OKB Sued
01.01.2020;00:00:00;1;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;3;1;2
01.01.2020;00:15:00;0;0;0;1;2;0;3;3;0;4;0;;;0;2;3;0;0;4;2;2
01.01.2020;00:30:00;1;0;1;4;0;3;3;0;0;7;2;;;2;1;0;3;0;17;1;16
01.01.2020;00:45:00;0;1;3;2;0;0;1;1;4;3;0;;;0;2;0;1;0;12;3;9
01.01.2020;01:00:00;1;0;0;0;1;0;0;0;1;4;0;;;0;4;0;6;0;8;2;6
01.01.2020;01:15:00;0;0;2;0;1;0;0;0;0;2;2;;;2;0;0;6;0;5;1;4
01.01.2020;01:30:00;0;2;3;5;0;0;0;0;1;3;0;;;0;4;0;0;1;8;5;3
01.01.2020;01:45:00;0;0;0;4;0;4;4;0;2;3;1;;;1;2;0;2;0;3;2;1
01.01.2020;02:00:00;0;4;0;1;0;0;0;0;0;7;0;;;0;1;1;3;0;3;1;2
01.01.2020;02:15:00;0;0;1;1;0;0;1;1;0;7;0;;;0;0;0;9;0;29;5;24
01.01.2020;02:30:00;0;0;4;1;2;0;0;0;1;1;3;;;3;0;0;11;2;8;4;4
01.01.2020;02:45:00;0;0;1;0;0;0;0;0;5;9;0;;;0;3;2;4;0;17;6;11
01.01.2020;03:00:00;0;0;0;1;2;0;2;2;3;6;1;;;1;4;0;8;0;0;0;0
01.01.2020;03:15:00;0;0;0;1;0;2;2;0;0;5;1;;;1;2;0;1;0;3;2;1
01.01.2020;03:30:00;0;0;0;1;0;2;2;0;2;2;0;;;0;2;1;5;0;16;3;13
01.01.2020;03:45:00;0;0;0;1;2;0;0;0;3;2;2;;;2;2;0;0;1;16;7;9
01.01.2020;04:00:00;0;1;1;0;0;0;1;1;0;2;2;;;2;2;0;1;0;0;0;0
01.01.2020;04:15:00;0;0;0;1;0;2;2;0;4;0;0;;;0;2;0;5;0;21;1;20
01.01.2020;04:30:00;1;0;0;0;4;0;0;0;3;1;0;;;0;0;0;4;0;0;0;0
01.01.2020;04:45:00;0;0;0;0;0;0;0;0;2;2;0;;;0;0;0;3;0;7;0;7
01.01.2020;05:00:00;0;0;0;0;0;0;0;0;1;0;0;;;0;2;1;2;0;4;2;2
01.01.2020;05:15:00;0;2;0;0;0;0;1;1;0;0;0;;;0;0;0;0;0;5;1;4
01.01.2020;05:30:00;1;1;1;0;1;0;2;2;0;1;1;;;1;1;0;1;0;2;1;1
01.01.2020;05:45:00;0;0;0;1;0;0;0;0;2;0;0;;;0;1;0;1;1;3;3;0
01.01.2020;06:00:00;0;2;0;1;0;0;0;0;2;0;0;;;0;1;0;8;0;0;0;0
01.01.2020;06:15:00;0;0;0;1;0;0;1;1;0;2;0;;;0;1;0;2;0;0;0;0
01.01.2020;06:30:00;1;1;0;0;0;0;0;0;0;0;0;;;0;0;0;3;0;0;0;0
01.01.2020;06:45:00;0;0;0;0;0;0;1;1;0;1;0;;;0;1;0;2;0;14;2;12
01.01.2020;07:00:00;0;0;0;1;0;0;0;0;0;2;0;;;0;0;0;4;1;1;1;0
01.01.2020;07:15:00;0;0;0;0;0;0;0;0;3;0;0;;;0;1;0;2;0;15;0;15
